Variable,Index,Value
bch_hrdn,1,0.0
bch_hrdn,2,0.0
bch_hrdn,3,0.0
bch_hrdn,4,0.0
bch_hrdn,5,0.0
bch_hrdn,6,0.0
P_gen,"(1, 1, 1)",400.0
P_gen,"(1, 1, 2)",400.0
P_gen,"(1, 1, 3)",400.0
P_gen,"(1, 1, 4)",400.0
P_gen,"(1, 1, 5)",400.0
P_gen,"(1, 1, 6)",400.0
P_gen,"(1, 1, 7)",400.0
P_gen,"(1, 1, 8)",400.0
P_gen,"(1, 1, 9)",400.0
P_gen,"(1, 1, 10)",400.0
P_gen,"(1, 1, 11)",400.0
P_gen,"(1, 1, 12)",400.0
P_gen,"(1, 1, 13)",400.0
P_gen,"(1, 1, 14)",400.0
P_gen,"(1, 1, 15)",400.0
P_gen,"(1, 1, 16)",400.0
P_gen,"(1, 1, 17)",400.0
P_gen,"(1, 1, 18)",400.0
P_gen,"(1, 1, 19)",400.0
P_gen,"(1, 1, 20)",400.0
P_gen,"(1, 1, 21)",400.0
P_gen,"(1, 1, 22)",400.0
P_gen,"(1, 1, 23)",400.0
P_gen,"(1, 1, 24)",400.0
P_gen,"(1, 1, 25)",400.0
P_gen,"(1, 1, 26)",400.0
P_gen,"(1, 1, 27)",400.0
P_gen,"(1, 1, 28)",400.0
P_gen,"(1, 1, 29)",400.0
P_gen,"(1, 1, 30)",400.0
P_gen,"(1, 1, 31)",400.0
P_gen,"(1, 1, 32)",400.0
P_gen,"(1, 1, 33)",400.0
P_gen,"(1, 1, 34)",400.0
P_gen,"(1, 1, 35)",400.0
P_gen,"(1, 1, 36)",400.0
P_gen,"(1, 1, 37)",400.0
P_gen,"(1, 1, 38)",400.0
P_gen,"(1, 1, 39)",400.0
P_gen,"(1, 1, 40)",400.0
P_gen,"(1, 1, 41)",400.0
P_gen,"(1, 1, 42)",400.0
P_gen,"(1, 1, 43)",400.0
P_gen,"(1, 1, 44)",400.0
P_gen,"(1, 1, 45)",400.0
P_gen,"(1, 1, 46)",400.0
P_gen,"(1, 1, 47)",400.0
P_gen,"(1, 1, 48)",400.0
P_gen,"(1, 1, 49)",400.0
P_gen,"(1, 1, 50)",400.0
P_gen,"(1, 1, 51)",400.0
P_gen,"(1, 1, 52)",400.0
P_gen,"(1, 1, 53)",400.0
P_gen,"(1, 1, 54)",400.0
P_gen,"(1, 1, 55)",400.0
P_gen,"(1, 1, 56)",400.0
P_gen,"(1, 1, 57)",400.0
P_gen,"(1, 1, 58)",400.0
P_gen,"(1, 1, 59)",400.0
P_gen,"(1, 1, 60)",400.0
P_gen,"(1, 1, 61)",400.0
P_gen,"(1, 1, 62)",400.0
P_gen,"(1, 1, 63)",400.0
P_gen,"(1, 1, 64)",400.0
P_gen,"(1, 1, 65)",400.0
P_gen,"(1, 1, 66)",400.0
P_gen,"(1, 1, 67)",400.0
P_gen,"(1, 1, 68)",400.0
P_gen,"(1, 1, 69)",400.0
P_gen,"(1, 1, 70)",400.0
P_gen,"(1, 1, 71)",400.0
P_gen,"(1, 1, 72)",400.0
P_gen,"(1, 1, 73)",400.0
P_gen,"(1, 1, 74)",400.0
